"Operation","Approach","Time & Space 
Complexity","Edge Cases"
"Print Stack","Assign top to Itr and loop till it is None.","O(n)","-"
"Push","Point new node to top and assign new node as top. Returm True.","O(1)","1. When Stack has 0 node, top will be None 
Sol. Create new node and assign it as top. Return True"
"Pop","Create ele and assign top to it. Assign ele's next as top. 
Point ele to None and return it.","O(1)","1. When Stack has 0 node, there is nothing to remove
Sol. Just return None"
"Print Queue","Assign first to Itr and loop till it is None.","O(n)","-"
"Enqueue","Point last to new node. Assign new node to last. Return True.","O(1)","1. When Queue has 0 node, last will be None
Sol. Create new node and assign it as first and last. Return True"
"Dequeue","Create ele and assign first to it. Assign ele's next as first.
Point ele to None and return it.","O(1)","1. When Queue has 0 node, there is nothing to remove
Sol. Just return None
2. When Queue has 1 node, last will be still pointing to ele. 
Sol. Assign None to first and last. Return ele"
,,,
